Species,Series,Temp, Polyp,Date,Age,Cum N,R,R 1
Cf,A,12,7A,04/11/2013,0,1,0,0
Cf,A,12,7A,07/11/2013,3,1,0,0
Cf,A,12,7A,10/11/2013,6,1,0,0
Cf,A,12,7A,13/11/2013,9,1,0,0
Cf,A,12,7A,16/11/2013,12,1,0,0
Cf,A,12,7A,19/11/2013,15,4,1.44224957030741,1.07598962472535
Cf,A,12,7A,22/11/2013,18,4,0,1.06293507041105
Cf,A,12,7A,25/11/2013,21,4,0,1.05370747209307
Cf,A,12,7A,28/11/2013,24,4,0,1.04683938172732
Cf,A,12,7A,01/12/2013,27,6,1.25992104989487,1.06142124961051
Cf,A,12,7A,04/12/2013,30,6,0,1.05511306353623
Cf,A,12,7A,07/12/2013,33,6,0,1.04997971594093
Cf,A,12,7A,10/12/2013,36,6,0,1.04572100942864
Cf,A,12,7A,13/12/2013,39,6,0,1.04213098288986
Cf,A,12,7A,16/12/2013,42,6,0,1.03906362841616
Cf,A,12,7A,19/12/2013,45,6,0,1.03641255838068
Cf,A,12,7A,22/12/2013,48,6,0,1.034098421241
Cf,A,12,7A,25/12/2013,51,6,0,1.03206082690945
Cf,A,12,7A,28/12/2013,54,6,0,1.03025300271851
Cf,A,12,7A,31/12/2013,57,6,0,1.02863816021572
Cf,A,12,7A,03/01/2014,60,6,0,1.02718696620247
Cf,A,12,7A,07/01/2014,63,6,0,1.02587574536305
Cf,A,12,7A,10/01/2014,66,6,0,1.02468517894079
Cf,A,12,7A,13/01/2014,69,6,0,1.0235993467727
Cf,A,12,7A,16/01/2014,72,6,0,1.02260501144315
Cf,A,12,7A,19/01/2014,75,6,0,1.02169107605197
Cf,A,12,7A,22/01/2014,78,6,0,1.02084816838248
Cf,A,12,7A,25/01/2014,81,6,0,1.02006831838009
Cf,A,12,7A,28/01/2014,84,6,0,1.01934470539468
Cf,A,12,7A,31/01/2014,87,6,0,1.01867145819424
Cf,A,12,7B,04/11/2013,0,1,0,0
Cf,A,12,7B,07/11/2013,3,1,0,0
Cf,A,12,7B,10/11/2013,6,1,0,0
Cf,A,12,7B,13/11/2013,9,1,0,0
Cf,A,12,7B,16/11/2013,12,1,0,0
Cf,A,12,7B,19/11/2013,15,1,0,0
Cf,A,12,7B,22/11/2013,18,1,0,0
Cf,A,12,7B,25/11/2013,21,1,0,0
Cf,A,12,7B,28/11/2013,24,2,1,1
Cf,A,12,7B,01/12/2013,27,2,0,1
Cf,A,12,7B,04/12/2013,30,2,0,1
Cf,A,12,7B,07/12/2013,33,2,0,1
Cf,A,12,7B,10/12/2013,36,2,0,1
Cf,A,12,7B,13/12/2013,39,4,1.25992104989487,1.0285700594374
Cf,A,12,7B,16/12/2013,42,4,0,1.02650254363692
Cf,A,12,7B,19/12/2013,45,4,0,1.02471405856166
Cf,A,12,7B,22/12/2013,48,4,0,1.02315169047767
Cf,A,12,7B,25/12/2013,51,4,0,1.02177510875481
Cf,A,12,7B,28/12/2013,54,7,1.44224957030741,1.03373735065327
Cf,A,12,7B,31/12/2013,57,7,0,1.03193365443347
Cf,A,12,7B,03/01/2014,60,7,0,1.03031301880014
Cf,A,12,7B,07/01/2014,63,8,1,1.03136942980728
Cf,A,12,7B,10/01/2014,66,8,0,1.02992242833251
Cf,A,12,7B,13/01/2014,69,8,0,1.02860302615022
Cf,A,12,7B,16/01/2014,72,8,0,1.02739505903668
Cf,A,12,7B,19/01/2014,75,10,1.25992104989487,1.02972968669669
Cf,A,12,7B,22/01/2014,78,12,1.25992104989487,1.03121966975458
Cf,A,12,7B,25/01/2014,81,12,0,1.03004618943033
Cf,A,12,7B,28/01/2014,84,12,0,1.0289577248596
Cf,A,12,7B,31/01/2014,87,12,0,1.02794536078172
Cf,A,12,7C,04/11/2013,0,1,0,0
Cf,A,12,7C,07/11/2013,3,1,0,0
Cf,A,12,7C,10/11/2013,6,1,0,0
Cf,A,12,7C,13/11/2013,9,1,0,0
Cf,A,12,7C,16/11/2013,12,1,0,0
Cf,A,12,7C,19/11/2013,15,1,0,0
Cf,A,12,7C,22/11/2013,18,3,1.25992104989487,1.03925922603184
Cf,A,12,7C,25/11/2013,21,3,0,1.03355778300703
Cf,A,12,7C,28/11/2013,24,3,0,1.02930223664349
Cf,A,12,7C,01/12/2013,27,3,0,1.02600448470704
Cf,A,12,7C,04/12/2013,30,3,0,1.02337389199678
Cf,A,12,7C,07/12/2013,33,3,0,1.02122660631536
Cf,A,12,7C,10/12/2013,36,4,1,1.03098742495292
Cf,A,12,7C,13/12/2013,39,4,0,1.0285700594374
Cf,A,12,7C,16/12/2013,42,4,0,1.02650254363692
Cf,A,12,7C,19/12/2013,45,4,0,1.02471405856166
Cf,A,12,7C,22/12/2013,48,4,0,1.02315169047767
Cf,A,12,7C,25/12/2013,51,8,1.5874010519682,1.03889235358651
Cf,A,12,7C,28/12/2013,54,8,0,1.03669251690219
Cf,A,12,7C,31/12/2013,57,8,0,1.03472819069867
Cf,A,12,7C,03/01/2014,60,8,0,1.03296347963311
Cf,A,12,7C,07/01/2014,63,8,0,1.03136942980728
Cf,A,12,7C,10/01/2014,66,8,0,1.02992242833251
Cf,A,12,7C,13/01/2014,69,8,0,1.02860302615022
Cf,A,12,7C,16/01/2014,72,12,1.5874010519682,1.03386489080019
Cf,A,12,7C,19/01/2014,75,12,0,1.03248853014262
Cf,A,12,7C,22/01/2014,78,12,0,1.03121966975458
Cf,A,12,7C,25/01/2014,81,12,0,1.03004618943033
Cf,A,12,7C,28/01/2014,84,12,0,1.0289577248596
Cf,A,12,7C,31/01/2014,87,12,0,1.02794536078172
Cf,A,12,7D,04/11/2013,0,1,0,0
Cf,A,12,7D,07/11/2013,3,1,0,0
Cf,A,12,7D,10/11/2013,6,1,0,0
Cf,A,12,7D,13/11/2013,9,1,0,0
Cf,A,12,7D,16/11/2013,12,2,1,1
Cf,A,12,7D,19/11/2013,15,2,0,1
Cf,A,12,7D,22/11/2013,18,4,1.25992104989487,1.06293507041105
Cf,A,12,7D,25/11/2013,21,4,0,1.05370747209307
Cf,A,12,7D,28/11/2013,24,4,0,1.04683938172732
Cf,A,12,7D,01/12/2013,27,4,0,1.04152849823144
Cf,A,12,7D,04/12/2013,30,4,0,1.03729919730295
Cf,A,12,7D,07/12/2013,33,4,0,1.03385163721665
Cf,A,12,7D,10/12/2013,36,4,0,1.03098742495292
Cf,A,12,7D,13/12/2013,39,4,0,1.0285700594374
