Species,Series,Temp, Polyp,Date,Age,Cum N,R,R 1
Cf,A,12,7A,04-11-2013,0,1,0,0
Cf,A,12,7A,07-11-2013,3,1,0,0
Cf,A,12,7A,10-11-2013,6,1,0,0
Cf,A,12,7A,13-11-2013,9,1,0,0
Cf,A,12,7A,16-11-2013,12,1,0,0
Cf,A,12,7A,19-11-2013,15,4,1.44224957,1.075989625
Cf,A,12,7A,22-11-2013,18,4,0,1.06293507
Cf,A,12,7A,25-11-2013,21,4,0,1.053707472
Cf,A,12,7A,28-11-2013,24,4,0,1.046839382
Cf,A,12,7A,01-12-2013,27,6,1.25992105,1.06142125
Cf,A,12,7A,04-12-2013,30,6,0,1.055113064
Cf,A,12,7A,07-12-2013,33,6,0,1.049979716
Cf,A,12,7A,10-12-2013,36,6,0,1.045721009
Cf,A,12,7A,13-12-2013,39,6,0,1.042130983
Cf,A,12,7A,16-12-2013,42,6,0,1.039063628
Cf,A,12,7A,19-12-2013,45,6,0,1.036412558
Cf,A,12,7A,22-12-2013,48,6,0,1.034098421
Cf,A,12,7A,25-12-2013,51,6,0,1.032060827
Cf,A,12,7A,28-12-2013,54,6,0,1.030253003
Cf,A,12,7A,31-12-2013,57,6,0,1.02863816
Cf,A,12,7A,03-01-2014,60,6,0,1.027186966
Cf,A,12,7A,07-01-2014,63,6,0,1.025875745
Cf,A,12,7A,10-01-2014,66,6,0,1.024685179
Cf,A,12,7A,13-01-2014,69,6,0,1.023599347
Cf,A,12,7A,16-01-2014,72,6,0,1.022605011
Cf,A,12,7A,19-01-2014,75,6,0,1.021691076
Cf,A,12,7A,22-01-2014,78,6,0,1.020848168
Cf,A,12,7A,25-01-2014,81,6,0,1.020068318
Cf,A,12,7A,28-01-2014,84,6,0,1.019344705
Cf,A,12,7A,31-01-2014,87,6,0,1.018671458
Cf,A,12,7B,04-11-2013,0,1,0,0
Cf,A,12,7B,07-11-2013,3,1,0,0
Cf,A,12,7B,10-11-2013,6,1,0,0
Cf,A,12,7B,13-11-2013,9,1,0,0
Cf,A,12,7B,16-11-2013,12,1,0,0
Cf,A,12,7B,19-11-2013,15,1,0,0
Cf,A,12,7B,22-11-2013,18,1,0,0
Cf,A,12,7B,25-11-2013,21,1,0,0
Cf,A,12,7B,28-11-2013,24,2,1,1
Cf,A,12,7B,01-12-2013,27,2,0,1
Cf,A,12,7B,04-12-2013,30,2,0,1
Cf,A,12,7B,07-12-2013,33,2,0,1
Cf,A,12,7B,10-12-2013,36,2,0,1
Cf,A,12,7B,13-12-2013,39,4,1.25992105,1.028570059
Cf,A,12,7B,16-12-2013,42,4,0,1.026502544
Cf,A,12,7B,19-12-2013,45,4,0,1.024714059
Cf,A,12,7B,22-12-2013,48,4,0,1.02315169
Cf,A,12,7B,25-12-2013,51,4,0,1.021775109
Cf,A,12,7B,28-12-2013,54,7,1.44224957,1.033737351
Cf,A,12,7B,31-12-2013,57,7,0,1.031933654
Cf,A,12,7B,03-01-2014,60,7,0,1.030313019
Cf,A,12,7B,07-01-2014,63,8,1,1.03136943
Cf,A,12,7B,10-01-2014,66,8,0,1.029922428
Cf,A,12,7B,13-01-2014,69,8,0,1.028603026
Cf,A,12,7B,16-01-2014,72,8,0,1.027395059
Cf,A,12,7B,19-01-2014,75,10,1.25992105,1.029729687
Cf,A,12,7B,22-01-2014,78,12,1.25992105,1.03121967
Cf,A,12,7B,25-01-2014,81,12,0,1.030046189
Cf,A,12,7B,28-01-2014,84,12,0,1.028957725
Cf,A,12,7B,31-01-2014,87,12,0,1.027945361
Cf,A,12,7C,04-11-2013,0,1,0,0
Cf,A,12,7C,07-11-2013,3,1,0,0
Cf,A,12,7C,10-11-2013,6,1,0,0
Cf,A,12,7C,13-11-2013,9,1,0,0
Cf,A,12,7C,16-11-2013,12,1,0,0
Cf,A,12,7C,19-11-2013,15,1,0,0
Cf,A,12,7C,22-11-2013,18,3,1.25992105,1.039259226
Cf,A,12,7C,25-11-2013,21,3,0,1.033557783
Cf,A,12,7C,28-11-2013,24,3,0,1.029302237
Cf,A,12,7C,01-12-2013,27,3,0,1.026004485
Cf,A,12,7C,04-12-2013,30,3,0,1.023373892
Cf,A,12,7C,07-12-2013,33,3,0,1.021226606
Cf,A,12,7C,10-12-2013,36,4,1,1.030987425
Cf,A,12,7C,13-12-2013,39,4,0,1.028570059
Cf,A,12,7C,16-12-2013,42,4,0,1.026502544
Cf,A,12,7C,19-12-2013,45,4,0,1.024714059
Cf,A,12,7C,22-12-2013,48,4,0,1.02315169
Cf,A,12,7C,25-12-2013,51,8,1.587401052,1.038892354
Cf,A,12,7C,28-12-2013,54,8,0,1.036692517
Cf,A,12,7C,31-12-2013,57,8,0,1.034728191
Cf,A,12,7C,03-01-2014,60,8,0,1.03296348
Cf,A,12,7C,07-01-2014,63,8,0,1.03136943
Cf,A,12,7C,10-01-2014,66,8,0,1.029922428
Cf,A,12,7C,13-01-2014,69,8,0,1.028603026
Cf,A,12,7C,16-01-2014,72,12,1.587401052,1.033864891
Cf,A,12,7C,19-01-2014,75,12,0,1.03248853
Cf,A,12,7C,22-01-2014,78,12,0,1.03121967
Cf,A,12,7C,25-01-2014,81,12,0,1.030046189
Cf,A,12,7C,28-01-2014,84,12,0,1.028957725
Cf,A,12,7C,31-01-2014,87,12,0,1.027945361
Cf,A,12,7D,04-11-2013,0,1,0,0
Cf,A,12,7D,07-11-2013,3,1,0,0
Cf,A,12,7D,10-11-2013,6,1,0,0
Cf,A,12,7D,13-11-2013,9,1,0,0
Cf,A,12,7D,16-11-2013,12,2,1,1
Cf,A,12,7D,19-11-2013,15,2,0,1
Cf,A,12,7D,22-11-2013,18,4,1.25992105,1.06293507
Cf,A,12,7D,25-11-2013,21,4,0,1.053707472
Cf,A,12,7D,28-11-2013,24,4,0,1.046839382
Cf,A,12,7D,01-12-2013,27,4,0,1.041528498
Cf,A,12,7D,04-12-2013,30,4,0,1.037299197
Cf,A,12,7D,07-12-2013,33,4,0,1.033851637
Cf,A,12,7D,10-12-2013,36,4,0,1.030987425
Cf,A,12,7D,13-12-2013,39,4,0,1.028570059
Cf,A,12,7D,16-12-2013,42,4,0,1.026502544
Cf,A,12,7D,19-12-2013,45,4,0,1.024714059
Cf,A,12,7D,22-12-2013,48,4,0,1.02315169
Cf,A,12,7D,25-12-2013,51,4,0,1.021775109
Cf,A,12,7D,28-12-2013,54,4,0,1.020553035
